A,B,C,D,E,F,G
1837,-0.003777985,0.007882463,46662,0.004236499,0.004060108,-0.000388526
1838,-0.001764979,0.004040873,25428,-0.0042603,0.003544776,-0.000172575
1839,0.000462193,0.002588279,21416,-0.002139535,0.004180214,-0.000114005
1840,-0.000413907,0.004047093,23514,0.003327172,0.004991681,0.000625608
1841,-0.001194688,0.003675964,22501,0.00225391,0.000275938,0.000589066
1842,0.001333517,0.003310801,21836,0.001931923,-0.000413546,0.000682109
1843,-0.00363536,0.005153928,31530,-0.003810836,-0.00041385,0.000503163
1844,-0.000458968,0.002294841,26141,0.00378578,0.002070774,0.000344817
1845,0.001800887,0.006464721,43386,0.005417815,-0.005645309,0.00026044
1846,-0.00193486,0.008660801,69728,-0.002718894,0.00161618,-0.00016504
1847,9.22E-05,0.003320574,21238,0.003047091,-0.001013498,-0.00011143
1848,-0.001474179,0.003316902,29271,0.004381919,0.000276714,-0.000135428
1849,-0.001573273,0.00490491,32716,-0.011439114,-0.004606809,-0.000107806
1850,-0.001024399,0.004889179,39306,-0.002641335,-0.005552728,-0.000374909
1851,0.003409462,0.004483677,19002,0.006244175,-0.001862544,-0.000371206
1852,-0.002640111,0.005233905,35438,0.003957169,0.007939844,-0.000510355
1853,0.004220975,0.004823971,26779,0.003760446,-0.001528485,-0.000152221
1854,0.003751389,0.004909226,26480,0.003465804,0.001484299,-0.000224429
1855,0.000505051,0.00224977,27626,0.001706642,0.008290107,1.92E-05
